name,Longitude,Latitude,Language
Aruba,-69.98267711,12.52088038,English
Afghanistan,66.00473366,33.83523073,Arabic
Angola,17.53736768,-12.29336054,Arabic
Anguilla,-63.06498927,18.2239595,Arabic
Albania,20.04983396,41.14244989,English
Aland,19.95328768,60.21488688,English
Andorra,1.56054378,42.54229102,English
United Arab Emirates,54.3001671,23.90528188,Arabic
Argentina,-65.17980692,-35.3813488,English
Armenia,44.92993276,40.28952569,English
American Samoa,-170.7180258,-14.30445997,English
Antarctica,19.92108951,-80.50857913,English
Ashmore and Cartier Is.,123.5838379,-12.42993164,English
Fr. S. Antarctic Lands,69.22666758,-49.24895485,English
Antigua and Barb.,-61.79469343,17.2774996,English
Australia,134.4910001,-25.73288704,English
Austria,14.1264761,47.58549439,English
Azerbaijan,47.54599879,40.28827235,English
Burundi,29.87512156,-3.35939666,English
Belgium,4.64065114,50.63981576,Chinese
Benin,2.32785254,9.6417597,French
Burkina Faso,-1.75456601,12.26953846,French
Bangladesh,90.23812743,23.86731158,Chinese
Bulgaria,25.21552909,42.76890318,Chinese
Bahrain,50.54196932,26.04205135,Chinese
Canada,-98.30777028,61.36206324,English
Bahamas,-76.62843038,24.29036702,English
Bosnia and Herz.,17.76876733,44.17450125,English
St-Barth̩lemy,-62.84067779,17.89880451,English
Belarus,28.03209307,53.53131377,English
Belize,-88.71010486,17.20027509,English
Bermuda,-64.7545589,32.31367802,English
Bolivia,-64.68538645,-16.70814787,English
Brazil,-53.09783113,-10.78777702,Spanish
Barbados,-59.559797,13.18145428,English
Brunei,114.7220304,4.51968958,English
Bhutan,90.40188155,27.41106589,English
Botswana,23.79853368,-22.18403213,Swahali
Central African Rep.,20.46826831,6.56823297,English
Switzerland,8.20867471,46.79785878,English
Chile,-71.38256213,-37.73070989,French
China,103.8190735,36.56176546,Chinese
C̫te d'Ivoire,-5.5692157,7.6284262,French
Cameroon,12.73964156,5.69109849,French
Dem. Rep. Congo,23.64396107,-2.87746289,French
Congo,15.21965762,-0.83787463,French
Cook Is.,-159.7872422,-21.21927288,French
Colombia,-73.08114582,3.91383431,Spanish
Comoros,43.68253968,-11.87783444,Spanish
Cape Verde,-23.9598882,15.95523324,French
Costa Rica,-84.19208768,9.97634464,English
Cuba,-79.01605384,21.62289528,French
Cura̤ao,-68.97119369,12.19551675,French
Cayman Is.,-80.91213321,19.42896497,French
N. Cyprus,33.5684813,35.26277486,English
Cyprus,33.0060022,34.91667211,English
Czech Rep.,15.31240163,49.73341233,French
Germany,10.38578051,51.10698181,German
Djibouti,42.5606754,11.74871806,French
Dominica,-61.357726,15.4394702,French
Denmark,10.02800992,55.98125296,English
Dominican Rep.,-70.50568896,18.89433082,English
Algeria,2.61732301,28.15893849,Arabic
Ecuador,-78.75201922,-1.42381612,Arabic
Egypt,29.86190099,26.49593311,Arabic
Eritrea,38.84617011,15.36186618,Arabic
Spain,-3.64755047,40.24448698,Spanish
Estonia,25.54248537,58.67192972,Spanish
Ethiopia,39.60080098,8.62278679,English
Finland,26.2746656,64.49884603,English
Fiji,165.4519543,-17.42858032,English
Falkland Is.,-59.35238956,-51.74483954,English
France,-2.76172945,42.17344011,French
Faeroe Is.,-6.88095423,62.05385403,French
Micronesia,153.2394379,7.45246814,English
Gabon,11.7886287,-0.58660025,English
United Kingdom,-2.86563164,54.12387156,English
Georgia,43.50780252,42.16855755,English
Guernsey,-2.57239064,49.46809761,English
Ghana,-1.21676566,7.95345644,English
Guinea,-10.94066612,10.43621593,French
Gambia,-15.39601295,13.44965244,English
Guinea-Bissau,-14.94972445,12.04744948,English
Eq. Guinea,10.34137924,1.70555135,English
Greece,22.95555794,39.07469623,Hebrew
Grenada,-61.68220189,12.11725044,English
Greenland,-41.34191127,74.71051289,English
Guatemala,-90.36482009,15.69403664,English
Guam,144.7679102,13.44165626,English
Guyana,-58.98202459,4.79378034,English
Hong Kong,114.1138045,22.39827737,Chinese
Heard I. and McDonald Is.,73.5205171,-53.08724656,English
Honduras,-86.6151661,14.82688165,English
Croatia,16.40412899,45.08047631,Hebrew
Haiti,-72.68527509,18.93502563,English
Hungary,19.39559116,47.16277506,English
Indonesia,117.2401137,-2.21505456,English
Isle of Man,-4.53873952,54.22418911,English
India,79.6119761,22.88578212,Indian
Indian Ocean Ter.,104.851898,-10.6478515,Indian
Br. Indian Ocean Ter.,72.44541229,-7.33059751,Indian
Ireland,-8.13793569,53.1754487,English
Iran,54.27407004,32.57503292,Arabic
Iraq,43.74353149,33.03970582,Arabic
Iceland,-18.57396167,64.99575386,English
Israel,35.00444693,31.46110101,Hebrew
Italy,12.07001339,42.79662641,English
Jamaica,-77.31482593,18.15694878,Jamaca
Jersey,-2.12689938,49.21837377,English
Jordan,36.77136104,31.24579091,English
Japan,138.0308956,37.59230135,Japanish
Siachen Glacier,77.18011865,35.39236325,English
Kazakhstan,67.29149357,48.15688067,English
Kenya,37.79593973,0.59988022,English
Kyrgyzstan,74.54165513,41.46221943,English
Cambodia,104.9069433,12.72004786,English
Kiribati,-45.61110513,0.86001503,English
St. Kitts and Nevis,-62.68755265,17.2645995,English
Korea,127.8391609,36.38523983,Korean
Kosovo,20.87249811,42.57078707,English
Kuwait,47.58700459,29.33431262,English
Lao PDR,103.7377241,18.50217433,English
Lebanon,35.88016072,33.92306631,English
Liberia,-9.32207573,6.45278492,English
Libya,18.00866169,27.03094495,English
Saint Lucia,-60.96969923,13.89479481,English
Liechtenstein,9.53574312,47.13665835,English
Sri Lanka,80.70108238,7.61266509,English
Lesotho,28.22723131,-29.58003188,English
Lithuania,23.88719355,55.32610984,English
Luxembourg,6.07182201,49.76725361,English
Latvia,24.91235983,56.85085163,English
Macao,113.5093212,22.22311688,English
St-Martin,-63.05972851,18.08888611,English
Morocco,-8.45615795,29.83762955,French
Monaco,7.40627677,43.75274627,French
Moldova,28.45673372,47.19498804,French
Madagascar,46.70473674,-19.37189587,English
Maldives,73.45713004,3.7287092,English
Mexico,-102.5234517,23.94753724,Spanish
Marshall Is.,170.3397612,7.00376358,English
Macedonia,21.68211346,41.59530893,English
Mali,-3.54269065,17.34581581,Arabic
Malta,14.40523316,35.92149632,English
Myanmar,96.48843321,21.18566599,English
Montenegro,19.23883939,42.78890259,English
Mongolia,103.0529977,46.82681544,English
N. Mariana Is.,145.6196965,15.82927563,English
Mozambique,35.53367543,-17.27381643,Arabic
Mauritania,-10.34779815,20.25736706,English
Montserrat,-62.18518546,16.73941406,Arabic
Mauritius,57.57120551,-20.27768704,Arabic
Malawi,34.28935599,-13.21808088,Arabic
Malaysia,109.6976228,3.78986846,English
Namibia,17.20963567,-22.13032568,English
New Caledonia,165.6849237,-21.29991806,English
Niger,9.38545882,17.41912493,French
Norfolk Island,167.9492168,-29.0514609,English
Nigeria,8.08943895,9.59411452,English
Nicaragua,-85.0305297,12.84709429,English
Niue,-169.8699468,-19.04945708,English
Netherlands,5.28144793,52.1007899,English
Norway,15.34834656,68.75015572,English
Nepal,83.9158264,28.24891365,English
Nauru,166.9325682,-0.51912639,English
New Zealand,171.4849235,-41.81113557,English
Oman,56.09166155,20.60515333,Arabic
Pakistan,69.33957937,29.9497515,Arabic
Panama,-80.11915156,8.51750797,Arabic
Pitcairn Is.,-128.317042,-24.36500535,English
Peru,-74.38242685,-9.15280381,English
Philippines,122.8839325,11.77536778,Philippinan
Palau,134.4080797,7.28742784,English
Papua New Guinea,145.2074475,-6.46416646,English
Poland,19.39012835,52.12759564,English
Puerto Rico,-66.47307604,18.22813055,Spanish
Dem. Rep. Korea,127.1924797,40.15350311,Korean
Portugal,-8.50104361,39.59550671,Portugish
Paraguay,-58.40013703,-23.22823913,English
Palestine,35.19628705,31.91613893,Arabic
Fr. Polynesia,-144.9049439,-14.72227409,Arabic
Qatar,51.18479632,25.30601188,Arabic
Romania,24.97293039,45.85243127,Hebrew
Russia,96.68656112,61.98052209,Russian
Rwanda,29.91988515,-1.99033832,English
W. Sahara,-12.21982755,24.22956739,Arabic
Saudi Arabia,44.53686271,24.12245841,Arabic
Sudan,29.94046812,15.99035669,Arabic
S. Sudan,30.24790002,7.30877945,Arabic
Senegal,-14.4734924,14.36624173,Arabic
Singapore,103.8172559,1.35876087,Chinese
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248,English
Saint Helena,-9.54779416,-12.40355951,English
Solomon Is.,159.6328767,-8.92178022,English
Sierra Leone,-11.79271247,8.56329593,English
El Salvador,-88.87164469,13.73943744,Spanish
San Marino,12.45922334,43.94186747,Spanish
Somaliland,46.25198395,9.73345496,Spanish
Somalia,45.70714487,4.75062876,Spanish
St. Pierre and Miquelon,-56.30319779,46.91918789,Spanish
Serbia,20.78958334,44.2215032,Arabic
Ṣo Tom̩ and Principe,6.72429658,0.44391445,English
Suriname,-55.9123457,4.13055413,Arabic
Slovakia,19.47905218,48.70547528,Arabic
Slovenia,14.80444238,46.11554772,Arabic
Sweden,16.74558049,62.77966519,English
Swaziland,31.4819369,-26.55843045,English
Sint Maarten,-63.05713363,18.05081728,English
Seychelles,55.47603279,-4.66099094,French
Syria,38.50788204,35.02547389,English
Turks and Caicos Is.,-71.97387881,21.83047572,Arabic
Chad,18.64492513,15.33333758,French
Togo,0.96232845,8.52531356,French
Thailand,101.0028813,15.11815794,Chinese
Tajikistan,71.01362631,38.5304539,Chinese
Turkmenistan,59.37100021,39.11554137,Chinese
Timor-Leste,125.8443898,-8.82889162,Chinese
Tonga,-174.8098734,-20.42843174,French
Trinidad and Tobago,-61.26567923,10.45733408,French
Tunisia,9.55288359,34.11956246,Tunis
Turkey,35.16895346,39.0616029,Turkish
Taiwan,120.9542728,23.7539928,Chinese
Tanzania,34.81309981,-6.27565408,English
Uganda,32.36907971,1.27469299,English
Ukraine,31.38326469,48.99656673,Russian
Uruguay,-56.01807053,-32.79951534,English
United States,-112.4616737,45.6795472,English
Uzbekistan,63.14001528,41.75554225,English
Vatican,12.43387177,41.90174985,English
St. Vin. and Gren.,-61.20129695,13.22472269,English
Venezuela,-66.18184123,7.12422421,English
British Virgin Is.,-64.47146992,18.52585755,English
U.S. Virgin Is.,-64.80301538,17.95500624,English
Vietnam,106.299147,16.6460167,Korean
Vanuatu,167.6864464,-16.22640909,Korean
Wallis and Futuna Is.,-177.3483483,-13.88737039,English
Samoa,-172.1648506,-13.75324346,English
Yemen,47.58676189,15.90928005,English
South Africa,25.08390093,-29.00034095,English
Zambia,27.77475946,-13.45824152,English
Zimbabwe,29.8514412,-19.00420419,English
